Text Passage,Image ROI
2.37.1,"urn:cite2:fufolio:camerarius1668.2020a:02_00075@0.04507,0.1904,0.8365,0.09491"
2.37.2,"urn:cite2:fufolio:camerarius1668.2020a:02_00075@0.04403,0.2569,0.8365,0.05150"
2.37.3,"urn:cite2:fufolio:camerarius1668.2020a:02_00075@0.04298,0.2789,0.8417,0.05150"
2.37.4,"urn:cite2:fufolio:camerarius1668.2020a:02_00075@0.03983,0.2998,0.8459,0.09259"
2.37.5,"urn:cite2:fufolio:camerarius1668.2020a:02_00075@0.03669,0.3652,0.8512,0.04803"
2.37.6,"urn:cite2:fufolio:camerarius1668.2020a:02_00075@0.03669,0.3854,0.8595,0.09259"
2.37.7,"urn:cite2:fufolio:camerarius1668.2020a:02_00075@0.03040,0.4485,0.8637,0.09433"
2.37.8,"urn:cite2:fufolio:camerarius1668.2020a:02_00075@0.02411,0.5133,0.8679,0.05150"
2.37.9,"urn:cite2:fufolio:camerarius1668.2020a:02_00075@0.04507,0.5341,0.8491,0.07350"
2.37.10,"urn:cite2:fufolio:camerarius1668.2020a:02_00075@0.03145,0.5752,0.8836,0.1574"
2.37.11,"urn:cite2:fufolio:camerarius1668.2020a:02_00075@0.03878,0.7078,0.8637,0.07002"
2.37.12,"urn:cite2:fufolio:camerarius1668.2020a:02_00075@0.03669,0.7459,0.8669,0.05150"
2.37.13,"urn:cite2:fufolio:camerarius1668.2020a:02_00075@0.03669,0.7645,0.8711,0.07813"
2.37.14,"urn:cite2:fufolio:camerarius1668.2020a:02_00075@0.05765,0.8351,0.8040,0.06539"
4.96.0,"urn:cite2:fufolio:camerarius1668.2020a:04_00192@0.2023,0.1211,0.7348,0.04641"
4.96.1,"urn:cite2:fufolio:camerarius1668.2020a:04_00193@0.01468,0.1408,0.8375,0.07801"
4.96.2,"urn:cite2:fufolio:camerarius1668.2020a:04_00193@0.06499,0.1877,0.7778,0.04862"
4.96.3,"urn:cite2:fufolio:camerarius1668.2020a:04_00193@0.002096,0.2103,0.8417,0.09271"
4.96.4,"urn:cite2:fufolio:camerarius1668.2020a:04_00193@0.001048,0.2730,0.8564,0.05088"
4.96.5,"urn:cite2:fufolio:camerarius1668.2020a:04_00193@0.001048,0.2928,0.8438,0.08875"
4.96.6,"urn:cite2:fufolio:camerarius1668.2020a:04_00193@0.001048,0.3567,0.8532,0.09214"
4.96.7,"urn:cite2:fufolio:camerarius1668.2020a:04_00193@0.000,0.4183,0.8616,0.07688"
4.96.8,"urn:cite2:fufolio:camerarius1668.2020a:04_00193@0.001048,0.4624,0.8553,0.09553"
4.96.9,"urn:cite2:fufolio:camerarius1668.2020a:04_00193@0.001048,0.5252,0.8637,0.09101"
4.96.10,"urn:cite2:fufolio:camerarius1668.2020a:04_00193@0.000,0.5845,0.8648,0.1215"
4.96.11,"urn:cite2:fufolio:camerarius1668.2020a:04_00193@0.000,0.6682,0.8627,0.1097"
4.96.12,"urn:cite2:fufolio:camerarius1668.2020a:04_00193@0.000,0.7400,0.8606,0.08310"
1.68.0,"urn:cite2:fufolio:camerarius1668.2020a:01_00136@0.1845,0.1385,0.7096,0.09483"
1.68.1,"urn:cite2:fufolio:camerarius1668.2020a:01_00137@0.01677,0.1805,0.8690,0.1262"
1.68.2,"urn:cite2:fufolio:camerarius1668.2020a:01_00137@0.02516,0.2751,0.8606,0.09112"
1.68.3,"urn:cite2:fufolio:camerarius1668.2020a:01_00137@0.02411,0.3370,0.8669,0.1151"
1.68.4,"urn:cite2:fufolio:camerarius1668.2020a:01_00137@0.04298,0.4211,0.8595,0.05315"
1.68.5,"urn:cite2:fufolio:camerarius1668.2020a:01_00137@0.1069,0.4620,0.6625,0.03154"
1.68.6,"urn:cite2:fufolio:camerarius1668.2020a:01_00137@0.1918,0.4866,0.5912,0.02862"
1.68.7,"urn:cite2:fufolio:camerarius1668.2020a:01_00137@0.03145,0.5053,0.8113,0.05607"
1.68.8,"urn:cite2:fufolio:camerarius1668.2020a:01_00137@0.02830,0.5327,0.5346,0.02921"
1.68.9,"urn:cite2:fufolio:camerarius1668.2020a:01_00137@0.06604,0.5491,0.7589,0.03563"
1.68.10,"urn:cite2:fufolio:camerarius1668.2020a:01_00137@0.1143,0.5742,0.6876,0.02979"
1.68.11,"urn:cite2:fufolio:camerarius1668.2020a:01_00137@0.06813,0.5940,0.7893,0.03037"
1.68.12,"urn:cite2:fufolio:camerarius1668.2020a:01_00137@0.1289,0.6186,0.6447,0.02629"
1.68.13,"urn:cite2:fufolio:camerarius1668.2020a:01_00137@0.1268,0.6373,0.6981,0.03037"
1.68.14,"urn:cite2:fufolio:camerarius1668.2020a:01_00137@0.1226,0.6595,0.7254,0.03096"
1.68.15,"urn:cite2:fufolio:camerarius1668.2020a:01_00137@0.1834,0.6817,0.6247,0.02979"
1.68.16,"urn:cite2:fufolio:camerarius1668.2020a:01_00137@0.1394,0.7027,0.7013,0.03271"
1.68.17,"urn:cite2:fufolio:camerarius1668.2020a:01_00137@0.1981,0.7243,0.6457,0.03797"
2.3.0,"urn:cite2:fufolio:camerarius1668.2020a:02_00006@0.1268,0.1380,0.8522,0.07794"
2.3.1,"urn:cite2:fufolio:camerarius1668.2020a:02_00007@0.01887,0.1285,0.8732,0.07205"
2.3.2,"urn:cite2:fufolio:camerarius1668.2020a:02_00007@0.02621,0.1695,0.8690,0.1464"
2.3.3,"urn:cite2:fufolio:camerarius1668.2020a:02_00007@0.02306,0.2888,0.8627,0.1579"
2.3.4,"urn:cite2:fufolio:camerarius1668.2020a:02_00007@0.02935,0.4127,0.8627,0.1372"
2.3.5,"urn:cite2:fufolio:camerarius1668.2020a:02_00007@0.07757,0.5429,0.6373,0.03170"
2.3.6,"urn:cite2:fufolio:camerarius1668.2020a:02_00007@0.1174,0.5620,0.6373,0.03170"
2.3.7,"urn:cite2:fufolio:camerarius1668.2020a:02_00007@0.07862,0.5844,0.6908,0.03170"
2.3.8,"urn:cite2:fufolio:camerarius1668.2020a:02_00007@0.1184,0.6029,0.6908,0.03170"
2.3.9,"urn:cite2:fufolio:camerarius1668.2020a:02_00007@0.07338,0.6242,0.7484,0.03170"
2.3.10,"urn:cite2:fufolio:camerarius1668.2020a:02_00007@0.1363,0.6467,0.6310,0.03170"
2.3.11,"urn:cite2:fufolio:camerarius1668.2020a:02_00007@0.07338,0.6680,0.7631,0.03170"
2.3.12,"urn:cite2:fufolio:camerarius1668.2020a:02_00007@0.1268,0.6893,0.6321,0.03170"
2.3.13,"urn:cite2:fufolio:camerarius1668.2020a:02_00007@0.07442,0.7112,0.6321,0.03170"
2.3.14,"urn:cite2:fufolio:camerarius1668.2020a:02_00007@0.1310,0.7297,0.6321,0.03170"
2.3.15,"urn:cite2:fufolio:camerarius1668.2020a:02_00007@0.07862,0.7545,0.7159,0.03170"
2.3.16,"urn:cite2:fufolio:camerarius1668.2020a:02_00007@0.1205,0.7752,0.5618,0.03170"
2.3.17,"urn:cite2:fufolio:camerarius1668.2020a:02_00007@0.02621,0.7954,0.8595,0.05821"
2.80.0,"urn:cite2:fufolio:camerarius1668.2020a:02_00160@0.2034,0.1287,0.7212,0.06042"
2.80.1,"urn:cite2:fufolio:camerarius1668.2020a:02_00161@0.02830,0.1817,0.8543,0.07648"
2.80.2,"urn:cite2:fufolio:camerarius1668.2020a:02_00161@0.008386,0.2105,0.8784,0.2846"
2.80.3,"urn:cite2:fufolio:camerarius1668.2020a:02_00161@0.000,0.4646,0.8899,0.1351"
2.80.4,"urn:cite2:fufolio:camerarius1668.2020a:02_00161@0.000,0.5716,0.8889,0.07131"
2.80.5,"urn:cite2:fufolio:camerarius1668.2020a:02_00161@0.3501,0.6308,0.3291,0.03278"
2.80.6,"urn:cite2:fufolio:camerarius1668.2020a:02_00161@0.1090,0.6544,0.5922,0.03220"
2.80.7,"urn:cite2:fufolio:camerarius1668.2020a:02_00161@0.1080,0.6757,0.6426,0.03220"
2.80.8,"urn:cite2:fufolio:camerarius1668.2020a:02_00161@0.3218,0.6964,0.3774,0.03220"
2.80.9,"urn:cite2:fufolio:camerarius1668.2020a:02_00161@0.1080,0.7159,0.5042,0.03220"
2.80.10,"urn:cite2:fufolio:camerarius1668.2020a:02_00161@0.1017,0.7361,0.5294,0.03220"
2.80.11,"urn:cite2:fufolio:camerarius1668.2020a:02_00161@0.09958,0.7573,0.5702,0.03220"
2.80.12,"urn:cite2:fufolio:camerarius1668.2020a:02_00161@0.3260,0.7775,0.3092,0.03220"
2.80.13,"urn:cite2:fufolio:camerarius1668.2020a:02_00161@0.02830,0.7999,0.6551,0.03738"
2.80.14,"urn:cite2:fufolio:camerarius1668.2020a:02_00161@0.09644,0.8240,0.6551,0.03738"
3.47.0,"urn:cite2:fufolio:camerarius1668.2020a:03_00094@0.07338,0.1437,0.9256,0.09502"
3.47.1,"urn:cite2:fufolio:camerarius1668.2020a:03_00095@0.01468,0.1492,0.8920,0.07598"
3.47.2,"urn:cite2:fufolio:camerarius1668.2020a:03_00095@0.001048,0.1991,0.8931,0.1137"
3.47.3,"urn:cite2:fufolio:camerarius1668.2020a:03_00095@0.000,0.2856,0.8889,0.08264"
3.47.4,"urn:cite2:fufolio:camerarius1668.2020a:03_00095@0.001048,0.3411,0.8952,0.1570"
3.47.5,"urn:cite2:fufolio:camerarius1668.2020a:03_00095@0.000,0.4720,0.9015,0.07099"
3.47.6,"urn:cite2:fufolio:camerarius1668.2020a:03_00095@0.000,0.5125,0.9025,0.06489"
3.47.7,"urn:cite2:fufolio:camerarius1668.2020a:03_00095@0.08700,0.5735,0.6468,0.03161"
3.47.8,"urn:cite2:fufolio:camerarius1668.2020a:03_00095@0.08386,0.5968,0.7704,0.03161"
3.47.9,"urn:cite2:fufolio:camerarius1668.2020a:03_00095@0.08281,0.6206,0.6740,0.02829"
3.47.10,"urn:cite2:fufolio:camerarius1668.2020a:03_00095@0.000,0.6406,0.5660,0.02829"
3.47.11,"urn:cite2:fufolio:camerarius1668.2020a:03_00095@0.08805,0.6611,0.7002,0.02884"
3.47.12,"urn:cite2:fufolio:camerarius1668.2020a:03_00095@0.08700,0.6828,0.7138,0.02884"
3.47.13,"urn:cite2:fufolio:camerarius1668.2020a:03_00095@0.08700,0.7027,0.7338,0.02884"
3.47.14,"urn:cite2:fufolio:camerarius1668.2020a:03_00095@0.001048,0.7243,0.8878,0.09262"
3.47.15,"urn:cite2:fufolio:camerarius1668.2020a:03_00095@0.001048,0.7903,0.8700,0.05546"
4.51.0,"urn:cite2:fufolio:camerarius1668.2020a:04_00102@0.1719,0.1486,0.7579,0.06021"
4.51.1,"urn:cite2:fufolio:camerarius1668.2020a:04_00103@0.02096,0.1448,0.8480,0.07811"
4.51.2,"urn:cite2:fufolio:camerarius1668.2020a:04_00103@0.001048,0.1693,0.8795,0.1174"
4.51.3,"urn:cite2:fufolio:camerarius1668.2020a:04_00103@0.001048,0.2554,0.8857,0.1169"
4.51.4,"urn:cite2:fufolio:camerarius1668.2020a:04_00103@0.000,0.3358,0.8920,0.07754"
4.51.5,"urn:cite2:fufolio:camerarius1668.2020a:04_00103@0.000,0.3797,0.8962,0.07526"
4.51.6,"urn:cite2:fufolio:camerarius1668.2020a:04_00103@0.001048,0.4208,0.8983,0.1425"
4.51.7,"urn:cite2:fufolio:camerarius1668.2020a:04_00103@0.001048,0.5314,0.9004,0.1186"
4.51.8,"urn:cite2:fufolio:camerarius1668.2020a:04_00103@0.1143,0.6363,0.7138,0.03364"
4.51.9,"urn:cite2:fufolio:camerarius1668.2020a:04_00103@0.001048,0.6625,0.9067,0.1631"
3.27.0,"urn:cite2:fufolio:camerarius1668.2020a:03_00054@0.2254,0.1421,0.6048,0.06373"
3.27.1,"urn:cite2:fufolio:camerarius1668.2020a:03_00055@0.001048,0.1377,0.8847,0.07443"
3.27.2,"urn:cite2:fufolio:camerarius1668.2020a:03_00055@0.001048,0.1824,0.9088,0.2205"
3.27.3,"urn:cite2:fufolio:camerarius1668.2020a:03_00055@0.003145,0.3665,0.9088,0.07611"
3.27.4,"urn:cite2:fufolio:camerarius1668.2020a:03_00055@0.001048,0.4141,0.9088,0.1785"
3.27.5,"urn:cite2:fufolio:camerarius1668.2020a:03_00055@0.001048,0.5596,0.9088,0.03581"
3.27.6,"urn:cite2:fufolio:camerarius1668.2020a:03_00055@0.000,0.5641,0.9130,0.09121"
3.27.7,"urn:cite2:fufolio:camerarius1668.2020a:03_00055@0.000,0.6245,0.9099,0.05372"
3.27.8,"urn:cite2:fufolio:camerarius1668.2020a:03_00055@0.000,0.6486,0.9109,0.1114"
3.27.9,"urn:cite2:fufolio:camerarius1668.2020a:03_00055@0.01992,0.7269,0.8983,0.03078"
3.27.10,"urn:cite2:fufolio:camerarius1668.2020a:03_00055@0.1635,0.7527,0.4140,0.03022"
3.27.11,"urn:cite2:fufolio:camerarius1668.2020a:03_00055@0.1017,0.7722,0.6247,0.03246"
3.27.12,"urn:cite2:fufolio:camerarius1668.2020a:03_00055@0.09119,0.7913,0.7925,0.05260"
